00   0 36529140 35637610 37420670 13.7 13.4 14.1 14463480 13990149 14936811 20.5 19.8 21.1  9311378  8914055  9708701 18.6 17.8 19.4  35492  35198  35786 4582977 4295266 4870688 23.4 21.9 24.9 United States                                 US
28   0   567049   533581   600518 20.8 19.6 22.1   232548   212148   252948 29.9 27.3 32.6   151338   133133   169543 27.2 24.0 30.5  26901  25195  28607   74232   64171   84293 35.3 30.5 40.1 Mississippi                                   MS
29   0   673280   622829   723731 12.6 11.6 13.5   260921   233789   288054 18.4 16.5 20.4   166992   141943   192041 16.1 13.7 18.5  32947  31022  34872   80697   68213   93180 21.7 18.4 25.1 Missouri                                      MO
30   0   132015   122846   141183 15.1 14.1 16.2    49667    44712    54622 21.6 19.4 23.8    32190    27630    36750 18.8 16.1 21.5  28714  27013  30415   15232   13135   17329 28.2 24.3 32.1 Montana                                       MT
31   0   153630   139063   168197  9.4  8.5 10.2    56679    48238    65120 12.7 10.8 14.6    31052    23404    38700  9.6  7.2 12.0  33562  31695  35430   20846   16861   24830 18.1 14.7 21.6 Nebraska                                      NE
32   0   161737   146295   177178  9.6  8.7 10.6    61697    53236    70159 13.7 11.8 15.6    35088    27375    42801 11.5  9.0 14.0  38213  36186  40241   22485   18217   26753 16.7 13.6 19.9 Nevada                                        NV
33   0    73675    63127    84222  6.3  5.4  7.2    23579    17823    29335  7.8  5.9  9.7    12870     7690    18050  5.9  3.5  8.2  40153  37994  42311    7942    5229   10656 10.4  6.9 14.0 New Hampshire                                 NH
34   0   726513   667216   785811  9.0  8.3  9.7   280978   248202   313754 13.8 12.2 15.4   184677   155254   214100 12.9 10.8 14.9  46872  44941  48804   80438   64386   96491 14.0 11.2 16.8 New Jersey                                    NJ
35   0   355969   334849   377089 20.6 19.4 21.8   153193   141094   165292 29.8 27.4 32.1   100464    89296   111632 27.1 24.1 30.1  27014  25327  28702   48993   43517   54470 35.3 31.3 39.2 New Mexico                                    NM
36   0  2945668  2811319  3080017 16.3 15.6 17.1  1156555  1076384  1236725 25.2 23.5 27.0   799151   727174   871128 24.6 22.4 26.9  35696  34526  36865  336002  298690  373314 25.7 22.9 28.6 New York                                      NY
37   0   940388   881081   999695 12.8 12.0 13.6   357716   326179   389253 18.8 17.2 20.5   225273   196653   253893 16.8 14.7 18.9  34487  32832  36142  115492  100251  130733 21.4 18.6 24.3 North Carolina                                NC
